year_film,category,movie_title,nominee,oscwin,ggwin,guildwin,sagwin,bawin,tomatometer_rating,tomatometer_status,genre,metascore,numnom
1936,director,the great ziegfeld,the great ziegfeld,1,0,0,0,0,62.0,fresh,none,62.0,6
1936,director,the great ziegfeld,the great ziegfeld,0,0,0,0,0,62.0,fresh,none,62.0,6
1936,director,my man godfrey,my man godfrey,0,0,0,0,0,97.0,fresh,none,97.0,6
1936,picture,the great ziegfeld,the great ziegfeld,1,0,0,0,0,62.0,fresh,none,62.0,6
1936,screenplay,the great ziegfeld,the great ziegfeld,0,0,0,0,0,62.0,fresh,none,62.0,6
1936,screenplay,my man godfrey,my man godfrey,0,0,0,0,0,97.0,fresh,none,97.0,6
1937,actor,the life of emile zola,paul muni,0,0,0,0,0,78.0,fresh,none,78.0,9
1937,supporting actor,the awful truth,ralph bellamy,0,0,0,0,0,93.0,fresh,none,93.0,5
1937,supporting actor,the life of emile zola,joseph schildkraut,1,0,0,0,0,78.0,fresh,none,78.0,9
1937,actress,the awful truth,irene dunne,0,0,0,0,0,93.0,fresh,none,93.0,5
1937,production design,the life of emile zola,the life of emile zola,0,0,0,0,0,78.0,fresh,none,78.0,9
1937,director,the life of emile zola,the life of emile zola,0,0,0,0,0,78.0,fresh,none,78.0,9
1937,director,the awful truth,the awful truth,1,0,0,0,0,93.0,fresh,none,93.0,5
1937,director,the life of emile zola,the life of emile zola,0,0,0,0,0,78.0,fresh,none,78.0,9
1937,score,the life of emile zola,the life of emile zola,0,0,0,0,0,78.0,fresh,none,78.0,9
1937,score,snow white and the seven dwarfs,snow white and the seven dwarfs,0,0,0,0,0,98.0,certified fresh,"['fantasy', 'romance', 'animation', 'family', 'musical']",95.0,1
1937,picture,the awful truth,the awful truth,0,0,0,0,0,93.0,fresh,none,93.0,5
1937,picture,the life of emile zola,the life of emile zola,1,0,0,0,0,78.0,fresh,none,78.0,9
1937,screenplay,the life of emile zola,the life of emile zola,0,0,0,0,0,78.0,fresh,none,78.0,9
