Name,Team,playerid
Marcus Stroman,NYM,13431
Chaz Roe,TBR,9866
Marcus Walden,BOS,8004
Yimi Garcia,MIA,12095
Austin Adams,SEA,13801
Matt Strahm,SDP,13799
Patrick Corbin,WSH,9323
Ryne Stanek,MIA,15947
Junior Guerra,ARI,5702
John Means,BAL,16269
Michael Fulmer,DET,13218
Ryne Harper,WSH,12680
Gio Gonzalez,CWS,7448
Nick Goody,TEX,13685
Zach Plesac,CLE,19979
Jake Odorizzi,MIN,6397
Chris Bassitt,OAK,12304
Kyle Ryan,CHC,11753
Sandy Alcantara,MIA,18684
Mike Montgomery,KCR,4869
Max Fried,ATL,13743
Jimmy Cordero,CWS,15690
Jose Quintana,CHC,11423
Scott Oberg,COL,13911
Frankie Montas,OAK,14309
Devin Smeltzer,MIN,19487
Jose Osuna,PIT,12937
Travis Lakins,BAL,18600
Ty Buttrey,LAA,14719
Trevor May,MIN,6398
Collin McHugh,BOS,7531
Kenta Maeda,MIN,18498
Brandon Woodruff,MIL,16162
Sean Newcomb,ATL,16943
Adam Cimber,CLE,15288
John Gant,STL,13684
Yu Darvish,CHC,13074
Oliver Perez,CLE,1514
Masahiro Tanaka,NYY,15764
Julio Teheran,LAA,6797
Hector Velazquez,BAL,19341
Jordan Montgomery,NYY,16511
Zach Davies,SDP,13183
Andres Munoz,SDP,20373
Zack Littell,MIN,15823
Chase Anderson,TOR,6895
Daniel Hudson,WSH,7146
Zack Wheeler,PHI,10310
Phillips Valdez,BOS,15605
Michael Lorenzen,CIN,14843
Jose Urquidy,HOU,18413
Devin Williams,MIL,15816
Archie Bradley,ARI,12918
Robbie Ray,ARI,11486
Lou Trivino,OAK,15043
Trevor Bauer,CIN,12703
Drew Pomeranz,SDP,11426
Rogelio Armenteros,HOU,17679
Brett Cecil,STL,2660
Anthony DeSclafani,CIN,13050
Ryan Yarbrough,TBR,16502
Austin Voth,WSH,15047
Matt Bowman,CIN,13528
Matt Magill,SEA,3950
Eduardo Rodriguez,BOS,13164
Tanner Roark,TOR,8753
Steven Matz,NYM,13361
Chris Archer,PIT,6345
Roenis Elias,WSH,12673
Joshua James,HOU,16794
Jake Newberry,KCR,15136
J.B. Wendelken,OAK,14506
Matt Barnes,BOS,12863
Taijuan Walker,SEA,11836
Daniel Zamora,NYM,17811
Carlos Rodon,CWS,16137
Matt Shoemaker,TOR,4776
Dereck Rodriguez,SFG,14509
Danny Duffy,KCR,3542
Tyler Webb,STL,14974
Robert Stock,PHI,6576
Scott Barlow,KCR,14993
Tim Hill,KCR,16814
Michael Wacha,NYM,14078
Caleb Ferguson,LAD,19349
Jake Diekman,OAK,5003
Joey Lucchesi,SDP,19320
Mike Fiers,OAK,7754
Kyle Freeland,COL,16256
Bryan Shaw,COL,8110
Zac Grotz,SEA,18256
Wander Suero,WSH,15855
James Hoyt,CLE,14605
Mike Leake,ARI,10130
Oliver Drake,TBR,8823
Jimmy Nelson,LAD,10547
Chris Martin,ATL,11847
Jose Berrios,MIN,14168
Trevor Williams,PIT,16977
Trevor Richards,TBR,19309
Mike Foltynewicz,ATL,10811
Marco Gonzales,SEA,15467
A.J. Minter,ATL,18655
Jarlin Garcia,SFG,18282
Joe Ross,WSH,12972
Jonathan Holder,NYY,16588
Jairo Diaz,COL,12774
Noe Ramirez,LAA,12800
Ryan Borucki,TOR,16350
Jeff Samardzija,SFG,3254
German Marquez,COL,15038
Kevin Gausman,SFG,14107
Jonathan Hernandez,TEX,17464
Miguel Castro,BAL,15684
Jesse Chavez,TEX,5448
Jose Cisnero,DET,6399
T.J. McFarland,OAK,3237
Colten Brewer,BOS,12997
Andrew Heaney,LAA,15423
Ian Kennedy,KCR,6986
Shawn Armstrong,BAL,12857
Sam Selman,SFG,13397
Brett Anderson,MIL,8223
Chad Kuhl,PIT,14975
Dinelson Lamet,SDP,17186
Joe Musgrove,PIT,12970
Kendall Graveman,SEA,15514
Jacob Waguespack,TOR,18318
Luke Weaver,ARI,16918
Anthony Bass,TOR,7982
Eric Lauer,MIL,19316
Ivan Nova,DET,1994
Jake McGee,COL,7550
Joe Kelly,LAD,9761
Tyler Chatwood,CHC,4338
Kyle Gibson,TEX,10123
Merrill Kelly,ARI,11156
Jon Duplantier,ARI,19546
Rick Porcello,NYM,2717
Adam Wainwright,STL,2233
Yency Almonte,COL,15068
Austin Gomber,STL,16561
Robert Gsellman,NYM,13696
Darwinzon Hernandez,BOS,19848
Jordan Yamamoto,MIA,17585
Jon Gray,COL,14916
Felix Pena,LAA,13403
Joel Payamps,ARI,14332
Ty France,SDP,17982
Michael Brosseau,TBR,19683
Luis Cessa,NYY,13345
Ian Hamilton,CWS,19261
Tyler Glasnow,TBR,14374
Deolis Guerra,PHI,8410
Nathan Eovaldi,BOS,9132
Daniel Norris,DET,13475
Paul Fry,BAL,15832
Trevor Gott,SFG,15046
Brandon Brennan,SEA,13527
Jose Urena,MIA,11589
Matt Andriese,LAA,12022
Griffin Canning,LAA,19867
Jaime Barria,LAA,18356
Wade Miley,CIN,8779
Duane Underwood Jr.,CHC,14677
Framber Valdez,HOU,17295
Lucas Giolito,CWS,15474
Carlos Estevez,COL,14542
Luke Jackson,ATL,11752
Brusdar Graterol,LAD,20367
Joel Kuhnel,CIN,19995
Caleb Smith,MIA,14875
Shane Greene,ATL,10756
